Date,PriceUSD
2021-04-26,1792.14952145476
2021-04-27,1791.05263510331
2021-04-28,1797.26694303155
2021-04-29,1787.74111784294
2021-04-30,1793.09698894601
2021-05-01,1790.93136100788
2021-05-02,1786.69352380429
2021-05-03,1803.10615927808
2021-05-04,1788.20542390129
2021-05-05,1799.39242305202
2021-05-06,1839.95562074389
2021-05-07,1862.19387830851
2021-05-08,1868.99128554634
2021-05-09,1891.15818161033
2021-05-10,1885.43479784808
2021-05-11,1863.67960391666
2021-05-12,1825.98753997368
2021-05-13,1857.39470957811
2021-05-14,1873.33493454235
2021-05-15,1887.74822875581
2021-05-16,1948.78753543871
2021-05-17,1904.71638500284
2021-05-18,1870.17860765796
2021-05-19,1875.79333996224
2021-05-20,1885.02138865908
2021-05-21,1900.33674276776
2021-05-22,1902.92144738543
2021-05-23,1897.26749525451
2021-05-24,1880.4070841021
2021-05-25,1903.00626711939
2021-05-26,1906.73805668906
2021-05-27,1907.92652485083
2021-05-28,1919.19902522565
2021-05-29,1933.74548748694
2021-05-30,1917.04627991732
2021-05-31,1917.55226312875
2021-06-01,1910.96175722155
2021-06-02,1911.76372886689
2021-06-03,1879.97293127941
2021-06-04,1902.78925333121
2021-06-05,1901.70281523463
2021-06-06,1898.66696867765
2021-06-07,1902.34619472561
2021-06-08,1897.70993071949
2021-06-09,1897.30426720228
2021-06-10,1902.58423670197
2021-06-11,1887.6387962968
2021-06-12,1893.37376825145
2021-06-13,1881.58439072989
2021-06-14,1869.88603161257
2021-06-15,1861.81022010636
2021-06-16,1823.02982628693
2021-06-17,1788.66779856616
2021-06-18,1772.53987877143
2021-06-19,1772.87543019172
2021-06-20,1777.12839100756
2021-06-21,1789.30338033967
2021-06-22,1782.56951801351
2021-06-23,1781.87209154182
2021-06-24,1777.30840972539
2021-06-25,1779.19192710352
2021-06-26,1781.38394716365
2021-06-27,1788.15171021681
2021-06-28,1784.60506572679
2021-06-29,1767.48847810011
2021-06-30,1778.59301756844
2021-07-01,1777.46477414897
2021-07-02,1794.09653730328
2021-07-03,1792.45054994514
2021-07-04,1794.09688311355
2021-07-05,1795.37547064343
2021-07-06,1799.16645664858
2021-07-07,1808.81671811207
2021-07-08,1810.66544544349
2021-07-09,1816.74526029298
2021-07-10,1811.22386667
2021-07-11,1811.45919371019
2021-07-12,1808.70373582559
2021-07-13,1812.62558761354
2021-07-14,1834.10791175593
2021-07-15,1833.5435223162
2021-07-16,1814.0071349724
2021-07-17,1814.73419124905
2021-07-18,1816.67193259827
2021-07-19,1817.4725696945
2021-07-20,1810.79067540601
2021-07-21,1808.65259376295
2021-07-22,1809.17176727923
2021-07-23,1812.64701661813
2021-07-24,1814.35604003798
2021-07-25,1812.71948121941
2021-07-26,1804.66883930339
2021-07-27,1808.65990843136
2021-07-28,1814.33740983753
2021-07-29,1835.16380342564
2021-07-30,1823.86823249146
2021-07-31,1823.77678200944
2021-08-01,1815.02131060781
2021-08-02,1817.48751041638
2021-08-03,1814.41272808889
2021-08-04,1818.49478493186
2021-08-05,1812.24380161451
2021-08-06,1773.30601710425
2021-08-07,1777.05274900829
2021-08-08,1725.3340205574
2021-08-09,1743.31219005013
2021-08-10,1738.6047759752
2021-08-11,1756.34210210799
2021-08-12,1758.87217531212
2021-08-13,1784.96370015075
2021-08-14,1777.44504475277
2021-08-15,1781.03108697017
2021-08-16,1792.43337146969
2021-08-17,1786.65780135211
2021-08-18,1791.26926810975
2021-08-19,1782.1873278511
2021-08-20,1787.27509284688
2021-08-21,1788.60873140221
2021-08-22,1785.35192694196
2021-08-23,1807.49992682679
2021-08-24,1805.42248869674
2021-08-25,1796.04661824899
2021-08-26,1801.05978805474
2021-08-27,1823.20243514549
2021-08-28,1824.39906654721
2021-08-29,1820.95133038048
2021-08-30,1814.67279158345
2021-08-31,1818.1555285196
2021-09-01,1818.08571760879
2021-09-02,1817.83684282832
2021-09-03,1831.52925848646
2021-09-04,1829.6064469026
2021-09-05,1830.46846992418
2021-09-06,1827.94624604031
2021-09-07,1792.69369084697
2021-09-08,1789.5961434673
2021-09-09,1797.57411939745
2021-09-10,1793.76115769228
2021-09-11,1798.9775227998
2021-09-12,1794.8383448614
2021-09-13,1800.15086919184
2021-09-14,1801.67517418591
2021-09-15,1798.63712964468
2021-09-16,1763.70964920937
2021-09-17,1764.21291355418
2021-09-18,1767.8938428476
2021-09-19,1764.53224850472
2021-09-20,1774.59852640224
2021-09-21,1779.2902734512
2021-09-22,1772.30032922999
2021-09-23,1755.59113129681
2021-09-24,1758.97772849735
2021-09-25,1757.79774956895
2021-09-26,1754.09234331832
2021-09-27,1759.74964278919
2021-09-28,1743.45135337597
2021-09-29,1738.68154216441
2021-09-30,1763.75233417222
2021-10-01,1765.84700044067
2021-10-02,1766.27817776815
2021-10-03,1770.9454857844
2021-10-04,1774.23575604434
2021-10-05,1764.14182338319
2021-10-06,1768.03807832066
2021-10-07,1759.98338449132
2021-10-08,1764.55103983273
2021-10-09,1761.51875424058
2021-10-10,1759.27924699056
2021-10-11,1761.7053401204
2021-10-12,1766.05035216561
2021-10-13,1794.45853553682
2021-10-14,1802.02575640538
2021-10-15,1773.72960163569
2021-10-16,1771.84854621921
2021-10-17,1775.87694151043
2021-10-18,1769.67356489738
2021-10-19,1776.33421000838
2021-10-20,1784.74039343008
2021-10-21,1787.66591965869
2021-10-22,1799.06616890908
2021-10-23,1796.99379218027
2021-10-24,1800.36796181774
2021-10-25,1809.43147324241
2021-10-26,1797.17005341878
2021-10-27,1805.25112240278
2021-10-28,1802.54764435983
2021-10-29,1783.38898277935
2021-10-30,1786.00163038117
2021-10-31,1779.30659992203
2021-11-01,1792.23439874718
2021-11-02,1789.53217878612
2021-11-03,1778.51592297955
2021-11-04,1791.61017001351
2021-11-05,1817.71614867128
2021-11-06,1816.95622008662
2021-11-07,1819.09727216453
2021-11-08,1828.53795379832
2021-11-09,1834.29894390013
2021-11-10,1851.36821588714
2021-11-11,1863.88936053023
2021-11-12,1871.94875136964
2021-11-13,1871.39248393955
2021-11-14,1870.4541350729
2021-11-15,1870.3350021121
2021-11-16,1858.31987866816
2021-11-17,1866.57180188532
2021-11-18,1859.34171536175
2021-11-19,1846.98121652626
2021-11-20,1843.54378748807
2021-11-21,1846.11984669001
